No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
115,WM,"Waste Management, Inc.",75.69B,187.91,-0.83%,20.14B
116,ICE,"Intercontinental Exchange, Inc.",75.09B,134.04,-0.06%,9.90B
117,CME,CME Group Inc.,73.82B,205.08,0.53%,5.35B
118,GD,General Dynamics Corporation,73.77B,269.67,0.25%,42.27B
119,CSX,CSX Corporation,72.95B,36.92,-0.42%,14.71B
120,MCO,Moody's Corporation,72.87B,398.16,0.04%,5.73B
121,SO,The Southern Company,72.83B,66.79,-0.22%,26.26B
122,CMG,"Chipotle Mexican Grill, Inc.",72.24B,"2,633.02",0.48%,9.87B
123,MAR,"Marriott International, Inc.",72.12B,245.55,-1.61%,23.54B
124,DUK,Duke Energy Corporation,70.89B,91.98,-0.73%,28.83B
125,MO,"Altria Group, Inc.",70.69B,40.09,-0.01%,24.62B
126,BDX,"Becton, Dickinson and Company",70.06B,242.52,0.75%,19.49B
127,CL,Colgate-Palmolive Company,68.84B,83.61,-0.78%,19.14B
128,NOC,Northrop Grumman Corporation,67.93B,452.73,0.33%,39.29B
129,TGT,Target Corporation,67.83B,146.88,-0.36%,106.89B
130,SLB,Schlumberger Limited,67.15B,47.04,-1.57%,33.14B
131,MCK,McKesson Corporation,66.53B,499.95,1.16%,301.51B
132,PH,Parker-Hannifin Corporation,66.28B,516.16,0.13%,19.83B
133,EOG,"EOG Resources, Inc.",65.37B,112.07,-0.88%,24.55B
134,MPC,Marathon Petroleum Corporation,64.54B,170.00,0.19%,153.58B
135,PSX,Phillips 66,64.44B,146.47,-0.24%,152.06B
136,CTAS,Cintas Corporation,62.72B,618.69,0.25%,9.19B
137,APH,Amphenol Corporation,62.71B,104.81,-0.05%,12.55B
138,USB,U.S. Bancorp,62.60B,40.21,-0.40%,24.66B
139,PYPL,"PayPal Holdings, Inc.",62.51B,57.99,3.30%,29.77B
140,TDG,TransDigm Group Incorporated,62.32B,"1,122.24",-0.56%,6.98B
141,TT,Trane Technologies plc,62.25B,273.56,1.34%,17.68B
142,AON,Aon plc,62.15B,310.51,1.08%,13.38B
143,ORLY,"O'Reilly Automotive, Inc.",61.33B,"1,036.79",1.56%,15.62B
144,LULU,Lululemon Athletica Inc.,61.30B,466.89,-1.29%,9.19B
145,FDX,FedEx Corporation,60.37B,241.62,-0.05%,87.95B
146,NXPI,NXP Semiconductors N.V.,59.51B,230.88,1.34%,13.28B
147,PNC,"The PNC Financial Services Group, Inc.",58.79B,147.63,-0.20%,21.89B
148,ROP,"Roper Technologies, Inc.",58.65B,549.06,0.68%,6.18B
149,EMR,Emerson Electric Co.,58.44B,102.51,0.13%,15.91B
150,MNST,Monster Beverage Corporation,57.79B,55.56,-1.66%,6.92B
151,ECL,Ecolab Inc.,57.49B,201.63,-0.62%,15.05B
152,NSC,Norfolk Southern Corporation,57.47B,254.45,0.16%,12.16B
153,ADSK,"Autodesk, Inc.",57.18B,267.27,2.20%,5.35B
154,PCAR,PACCAR Inc,55.10B,105.31,-0.28%,34.64B
155,RSG,"Republic Services, Inc.",54.45B,173.05,-0.91%,14.66B
156,FTNT,"Fortinet, Inc.",54.06B,70.41,3.77%,5.30B
157,FCX,Freeport-McMoRan Inc.,53.81B,37.53,-1.56%,22.71B
158,MSI,"Motorola Solutions, Inc.",53.70B,323.68,-1.42%,9.84B
159,PXD,Pioneer Natural Resources Company,53.25B,228.05,-1.60%,19.25B
160,EL,The Est̩e Lauder Companies Inc.,51.62B,143.96,2.27%,15.16B
161,EW,Edwards Lifesciences Corporation,51.54B,85.00,-0.93%,6.00B
162,COF,Capital One Financial Corporation,51.24B,134.52,-0.19%,26.34B
163,AJG,Arthur J. Gallagher & Co.,51.22B,237.26,0.09%,9.67B
164,MMM,3M Company,51.22B,92.74,-0.49%,32.68B
165,OXY,Occidental Petroleum Corporation,50.58B,57.64,-0.71%,29.72B
166,CARR,Carrier Global Corporation,50.00B,55.66,1.09%,22.10B
167,F,Ford Motor Company,49.88B,12.69,-1.09%,176.19B
168,PSA,Public Storage,49.54B,281.88,-1.06%,4.45B
169,MET,"MetLife, Inc.",49.24B,67.39,0.95%,64.19B
170,HLT,Hilton Worldwide Holdings Inc.,49.15B,191.69,-1.47%,10.24B
171,ROST,"Ross Stores, Inc.",49.06B,145.69,-0.25%,19.57B
